year;white;white_elo;black;black_elo;result;eco;moves
2024;Gukesh;2743;Praggnanandhaa;2747;Empate;C77;1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.d3 Bc5 6.Bxc6 dxc6 7.c3 Qe7 8.h3 Bd6
2024;Firouzja;2760;Gukesh;2743;Derrota;D02;1.d4 Nf6 2.Bf4 d5 3.e3 c5 4.Nf3 e6 5.Nbd2 Qb6 6.Rb1 cxd4 7.exd4 Bd7 8.c3 Bb5
2024;Gukesh;2743;Nepomniachtchi;2758;Empate;E01;1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 c5 5.cxd5 Nxd5 6.Nf3 cxd4 7.0-0 Bc5 8.Nxd4 0-0
2024;Praggnanandhaa;2747;Gukesh;2743;Vitoria;E20;1.d4 d5 2.c4 e6 3.Nf3 Nf6 4.g3 Bb4+ 5.Nc3 dxc4 6.Bg2 0-0 7.0-0 Nc6 8.a3 Be7
2024;Vidit;2727;Gukesh;2743;Vitoria;C55;1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.d3 a6 5.0-0 h6 6.a4 Bc5 7.Be3 d6 8.Nbd2 0-0
2024;Gukesh;2743;Vidit;2727;Empate;D40;1.d4 d5 2.c4 e6 3.Nc3 c5 4.e3 Nf6 5.Nf3 Nc6 6.a3 a6 7.dxc5 Bxc5 8.b4 Bd6
2024;Shevchenko;2677;Gukesh;2764;Vitoria;D38;1.d4 Nf6 2.c4 e6 3.Nf3 d5 4.Nc3 Bb4 5.Bg5 h6 6.Bxf6 Qxf6 7.e3 0-0 8.Rc1 c6
2024;Gukesh;2764;Shevchenko;2677;Derrota;E68;1.Nf3 Nf6 2.g3 g6 3.Bg2 Bg7 4.0-0 0-0 5.c4 d6 6.d4 Nbd7 7.Nc3 e5 8.e4 exd4
2024;Gukesh;2764;Shevchenko;2677;Derrota;D17;1.d4 Nf6 2.c4 c6 3.Nf3 d5 4.Nc3 dxc4 5.a4 Bf5 6.Nh4 Bc8 7.e3 e5 8.Bxc4 exd4
2024;Praggnanandhaa;2747;Gukesh;2743;Empate;C54;1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.d3 Nf6 5.0-0 d6 6.c3 a6 7.Re1 Ba7 8.Nbd2 0-0
